"wrong_token","true_token"
"tv-avgift","tv_avgift"
"tv-sändningarna","tv_sändningarna"
"ya-jobben","ya_jobben"
"guinea-bissau","guinea_bissau"
"nn-timmarsveckan","nn_timmarsveckan"
"nnn-punktsprogram","nnn_punktsprogram"
"ppp-projekt","ppp_projekt"
"eg-rättens","eg_rättens"
"eu-biståndet","eu_biståndet"
"nilsson-hedström","nilsson_hedström"
"eu-omröstningen","eu_omröstningen"
"a-kasseavgift","a_kasseavgift"
"a-kassereglerna","a_kassereglerna"
"eu-avtalet","eu_avtalet"
"it-användningen","it_användningen"
"it-stöd","it_stöd"
"mu-avtalet","mu_avtalet"
"telia-telenor","telia_telenor"
"tv-företag","tv_företag"
"e-postreklam","e_postreklam"
"emu-processen","emu_processen"
"fn-insatsen","fn_insatsen"
"eu-institutionerna","eu_institutionerna"
"lundby-wedin","lundby_wedin"
"n-anslaget","n_anslaget"
"oecd-land","oecd_land"
"p-piller","p_piller"
"woods-institutionerna","woods_institutionerna"
"nn-timmarsmyndigheten","nn_timmarsmyndigheten"
"pbl-kommittens","pbl_kommittens"
"usa-ledda","usa_ledda"
"e-handeln","e_handeln"
"eg-direktiven","eg_direktiven"
"eu-rättens","eu_rättens"
"it-politiska","it_politiska"
"tv-området","tv_området"
"per-arne","per_arne"
"ttip-avtalet","ttip_avtalet"
"två-plus-ett-väg","två_plus_ett_väg"
"fifty-fifty","fifty_fifty"
"iv-programmet","iv_programmet"
"nn-kommitten","nn_kommitten"
"tv-inslag","tv_inslag"
"bnp-tillväxten","bnp_tillväxten"
"emu-medlemskapet","emu_medlemskapet"
"eu-arme","eu_arme"
"fn-styrkan","fn_styrkan"
"iuc-bolagen","iuc_bolagen"
"lp-stiftelsen","lp_stiftelsen"
"atp-system","atp_system"
"clas-göran","clas_göran"
"fn-nivå","fn_nivå"
"mc-gängen","mc_gängen"
"tv-bolag","tv_bolag"
"eu-perspektivet","eu_perspektivet"
"icke-kommersiella","icke_kommersiella"
"jo-ämbetet","jo_ämbetet"
"nagorno-karabach","nagorno_karabach"
"ap-fond","ap_fond"
"cfe-avtalet","cfe_avtalet"
"eu-valrörelsen","eu_valrörelsen"
"it-frågor","it_frågor"
"it-strategin","it_strategin"
"nn-timmarsvecka","nn_timmarsvecka"
"oecd-genomsnittet","oecd_genomsnittet"
"s-gruppen","s_gruppen"
"tv-listan","tv_listan"
"avs-länderna","avs_länderna"
"hem-pc-reformen","hem_pc_reformen"
"iogt-nto","iogt_nto"
"it-säkerheten","it_säkerheten"
"nn-talens","nn_talens"
"s-regering","s_regering"
"eu-anhängare","eu_anhängare"
"eu-stat","eu_stat"
"fn-mandatet","fn_mandatet"
"friidrotts-vm","friidrotts_vm"
"gmo-grödor","gmo_grödor"
"hbt-kompetens","hbt_kompetens"
"it-företagen","it_företagen"
"it-tekniken","it_tekniken"
"n-procentiga","n_procentiga"
"pourbaix-lundins","pourbaix_lundins"
"sten-ove","sten_ove"
"telia-telenor-affären","telia_telenor_affären"
"all-time-high","all_time_high"
"bek-modellen","bek_modellen"
"f-skatten","f_skatten"
"mr-kommissionen","mr_kommissionen"
"n-nn-utredningen","n_nn_utredningen"
"nn-årsperioden","nn_årsperioden"
"non-paper","non_paper"
"pfe-programmet","pfe_programmet"
"rot-åtgärder","rot_åtgärder"
"tv-bolagen","tv_bolagen"
"eu-anpassningen","eu_anpassningen"
"eu-avgift","eu_avgift"
"eu-kritiskt","eu_kritiskt"
"eu-medlemskapets","eu_medlemskapets"
"eu-snittet","eu_snittet"
"fri-entre-reformen","fri_entre_reformen"
"land-för-land-rapportering","land_för_land_rapportering"
"n-området","n_området"
"nnn-procentig","nnn_procentig"
"ppm-systemet","ppm_systemet"
"eg-kommissionens","eg_kommissionens"
"ku-anmälningar","ku_anmälningar"
"lo-ekonomerna","lo_ekonomerna"
"nn-årsregeln","nn_årsregeln"
"wto-rundan","wto_rundan"
"bonus-malus","bonus_malus"
"ees-medborgare","ees_medborgare"
"ops-lösningar","ops_lösningar"
"sandlin-hedman","sandlin_hedman"
"eu-stöden","eu_stöden"
"gatt-avtalet","gatt_avtalet"
"i-ländernas","i_ländernas"
"it-användning","it_användning"
"it-samhälle","it_samhälle"
"nn-nn-åringarna","nn_nn_åringarna"
"offentlig-privat","offentlig_privat"
"tv-debatt","tv_debatt"
"va-system","va_system"
"ya-jobb","ya_jobb"
"eg-medlemskap","eg_medlemskap"
"eu-stödet","eu_stödet"
"nn-procentsmål","nn_procentsmål"
"rut-tjänsterna","rut_tjänsterna"
"tv-lista","tv_lista"
"a-listan","a_listan"
"dna-test","dna_test"
"eu-marknaden","eu_marknaden"
"eu-staterna","eu_staterna"
"fn-ledd","fn_ledd"
"it-proposition","it_proposition"
"nnn-tals","nnn_tals"
"tv-licens","tv_licens"
"yyyy-kommitten","yyyy_kommitten"
"eu-förordningen","eu_förordningen"
"fff-utredningen","fff_utredningen"
"fn-arbetet","fn_arbetet"
"fn-systemets","fn_systemets"
"jan-åke","jan_åke"
"nn-dagarsregeln","nn_dagarsregeln"
"spin-off-effekter","spin_off_effekter"
"vab-dagar","vab_dagar"
"al-asad","al_asad"
"eu-gemenskapen","eu_gemenskapen"
"nn-plussare","nn_plussare"
"tv-rutan","tv_rutan"
"yyyy-talskrisen","yyyy_talskrisen"
"al-sahlani","al_sahlani"
"eu-skatt","eu_skatt"
"de-facto-flyktingar","de_facto_flyktingar"
"israel-palestina-konflikten","israel_palestina_konflikten"
"it-kompetens","it_kompetens"
"it-relaterade","it_relaterade"
"tv-serien","tv_serien"
"dna-registret","dna_registret"
"emu-debatten","emu_debatten"
"ett-kina-politik","ett_kina_politik"
"lars-olof","lars_olof"
"science-sektorn","science_sektorn"
"se-banken","se_banken"
"sommar-os","sommar_os"
"al-shabab","al_shabab"
"anna-greta","anna_greta"
"anna-lena","lena_greta"
"dna-analys","dna_analys"
"emu-omröstningen","emu_omröstningen"
"eu-delegationen","eu_delegationen"
"eu-information","eu_information"
"eu-patent","eu_patent"
"f-skattsedlarna","f_skattsedlarna"
"fn-resolutionerna","fn_resolutionerna"
"hbtq-frågor","hbtq_frågor"
"jan-erik","jan_erik"
"npt-avtalet","npt_avtalet"
"o-listan","o_listan"
"tv-intervju","tv_intervju"
"tv-programmen","tv_programmen"
"tv-utbudet","tv_utbudet"
"atp-poäng","atp_poäng"
"esf-rådet","esf_rådet"
"eu-kritisk","eu_kritisk"
"eu-landet","eu_landet"
"eu-medborgarna","eu_medborgarna"
"eu-medborgare","eu_medborgare"
"mr-läget","mr_läget"
"n-n-åringar","n_n_åringar"
"nn-nn-åring","nn_nn_åring"
"nn-procentsregeln","nn_procentsregeln"
"a-kassesystem","a_kassesystem"
"bonus-malus-systemet","bonus_malus_systemet"
"dals-ed","dals_ed"
"eu-byråkratin","eu_byråkratin"
"eu-yyyy-mål","eu_yyyy_mål"
"icke-handlande","icke_handlande"
"it-satsningar","it_satsningar"
"it-tekniker","it_tekniker"
"jas-affären","jas_affären"
"lss-kommitten","lss_kommitten"
"mr-försvarare","mr_försvarare"
"romersk-katolska","romersk_katolska"
"sfi-utbildning","sfi_utbildning"
"som-institutet","som_institutet"
"tv-spel","tv_spel"
"vab-intygen","vab_intygen"
"fn-kommitten","fn_kommitten"
"hans-gunnar","hans_gunnar"
"mazar-e","mazar_e"
"n-nn","n_nn"
"n-diesel","n_diesel"
"nnn-nätet","nnn_nätet"
"nära-nollenergibyggnader","nära_nollenergibyggnader"
"se-banken","se_banken"
"service-bolagens","service_bolagens"
"u-hjälp","u_hjälp"
"yyyy-målet","yyyy_målet"
"a-kassenivån","a_kassenivån"
"dna-prov","dna_prov"
"eu-parlamentarikern","eu_parlamentarikern"
"fn-delegationen","fn_delegationen"
"fut-delegationen","fut_delegationen"
"pnr-uppgifter","pnr_uppgifter"
"rot-sektorn","rot_sektorn"
"life-science-branschen","life_science_branschen"
"service-televisionen","service_televisionen"
"svensk-kubanska","svensk_kubanska"
"syrisk-ortodoxa","syrisk_ortodoxa"
"text-tv","text_tv"
"yyyy-målen","yyyy_målen"
"dn-artikeln","dn_artikeln"
"eu-medlen","eu_medlen"
"robin-hood-politik","robin_hood_politik"
"lo-tco","lo_tco"
"lss-kostnader","lss_kostnader"
"nn-årsjubileet","nn_årsjubileet"
"tv-direktivet","tv_direktivet"
"tv-utbud","tv_utbud"
"uf-företag","uf_företag"
"vi-och-de-tänkande","vi_och_de_tänkande"
"vinn-vinn-situation","vinn_vinn_situation"
"a-kasseavgifter","a_kasseavgifter"
"a-kasseförslaget","a_kasseförslaget"
"ant-undervisningen","ant_undervisningen"
"eg-förordningen","eg_förordningen"
"eu-sidan","eu_sidan"
"grannlands-tv","grannlands_tv"
"icke-fungerande","icke_fungerande"
"lss-lagstiftningen","lss_lagstiftningen"
"nn-arbete","nn_arbete"
"pff-samarbetet","pff_samarbetet"
"praktisk-estetiska","praktisk_estetiska"
"rut-företag","rut_företag"
"tvångs-lov","tvångs_lov"
"alu-projekt","alu_projekt"
"ann-kristin","ann_kristin"
"eg-reglerna","eg_reglerna"
"epa-avtalen","epa_avtalen"
"eu-anslutningen","eu_anslutningen"
"ip-telefoni","ip_telefoni"
"israelisk-palestinska","israelisk_palestinska"
"it-satsningen","it_satsningen"
"kk-stiftelsen","kk_stiftelsen"
"lindstedt-staaf","lindstedt_staaf"
"läsa-skriva-räkna-garantin","läsa_skriva_räkna_garantin"
"läsa-skriva-räkna-satsningen","läsa_skriva_räkna_satsningen"
"pbl-utredningen","pbl_utredningen"
"rot-programmet","rot_programmet"
"rut-branschen","rut_branschen"
"sfi-utbildningen","sfi_utbildningen"
"tv-soffan","tv_soffan"
"a-kasseregler","a_kasseregler"
"acta-avtalet","acta_avtalet"
"carlsson-ramphal-rapporten","carlsson_ramphal_rapporten"
"ees-avtalets","ees_avtalets"
"emu-anslutning","emu_anslutning"
"eu-familjen","eu_familjen"
"eu-kolleger","eu_kolleger"
"eu-pengarna","eu_pengarna"
"eu-samarbetets","eu_samarbetets"
"eu-språk","eu_språk"
"gmo-produkter","gmo_produkter"
"ad-hoc-lösningar","ad_hoc_lösningar"
"ib-programmet","ib_programmet"
"s-motion","s_motion"
"tv-företagen","tv_företagen"
"tv-nätet","tv_nätet"
"a-lotterierna","a_lotterierna"
"eg-direktivets","eg_direktivets"
"eu-migranter","eu_migranter"
"gold-plating","gold_plating"
"ha-oljor","ha_oljor"
"hjortzberg-nordlund","hjortzberg_nordlund"
"it-land","it_land"
"it-satsning","it_satsning"
"it-systemen","it_systemen"
"lo-ekonomen","lo_ekonomen"
"lss-verksamheten","lss_verksamheten"
"nn-metersväg","nn_metersväg"
"rut-företagen","rut_företagen"
"s-märkt","s_märkt"
"s-reservationer","s_reservationer"
"service-tv","service_tv"
"service-utredningen","service_utredningen"
"u-världens","u_världens"
"uv-strålning","uv_strålning"
"bengt-åke","bengt_åke"
"e-brev","e_brev"
"eg-fördragets","eg_fördragets"
"emu-folkomröstningen","emu_folkomröstningen"
"emu-samarbetet","emu_samarbetet"
"emu-utredningen","emu_utredningen"
"fn-rapporten","fn_rapporten"
"id-handling","id_handling"
"n-procentsregeln","n_procentsregeln"
"ppp-lösning","ppp_lösning"
"tv-apparaten","tv_apparaten"
"tv-kameror","tv_kameror"
"tv-kamerorna","tv_kamerorna"
"tv-mediet","tv_mediet"
"tv-sända","tv_sända"
"vinna-vinna-situation","vinna_vinna_situation"
"eu-vänliga","eu_vänliga"
"fn-dagen","fn_dagen"
"icke-tariffära","icke_tariffära"
"is-återvändare","is_återvändare"
"it-baserade","it_baserade"
"jean-claude","jean_claude"
"lss-insatser","lss_insatser"
"läsa-skriva-räkna-satsning","läsa_skriva_räkna_satsning"
"nn-hem","nn_hem"
"nn-talspolitiken","nn_talspolitiken"
"nnn-åriga","nnn_åriga"
"non-profit","non_profit"
"om-gruppen","om_gruppen"
"s-regeringens","s_regeringens"
"wto-mötet","wto_mötet"
"yyyy-områdena","yyyy_områdena"
"bnp-måttet","bnp_måttet"
"bäst-före-datum","bäst_före_datum"
"cdm-projekten","cdm_projekten"
"eg-frågan","eg_frågan"
"eg-länderna","eg_länderna"
"eu-besluten","eu_besluten"
"eu-vän","eu_vän"
"gats-avtalet","gats_avtalet"
"kust-till-kust-banan","kust_till_kust_banan"
"nn-procentsnivå","nn_procentsnivå"
"pku-registret","pku_registret"
"s-ledda","s_ledda"
"upa-uppdraget","upa_uppdraget"
"eg-förhandlingarna","eg_förhandlingarna"
"eu-beslutet","eu_beslutet"
"eu-flaggan","eu_flaggan"
"eu-ledarna","eu_ledarna"
"fn-förbundet","fn_förbundet"
"fn-trupper","fn_trupper"
"humanistisk-samhällsvetenskapliga","humanistisk_samhällsvetenskapliga"
"ipu-delegationen","ipu_delegationen"
"it-kommission","it_kommission"
"lis-områden","lis_områden"
"lo-arbetare","lo_arbetare"
"mr-rapporter","mr_rapporter"
"nn-timmarsregel","nn_timmarsregel"
"s-kvinnorna","s_kvinnorna"
"service-beredningen","service_beredningen"
"tv-bilderna","tv_bilderna"
"u-landsbistånd","u_landsbistånd"
"u-landsbiståndet","u_landsbiståndet"
"wto-runda","wto_runda"
"a-kassenivå","a_kassenivå"
"ap-fondssystemet","ap_fondssystemet"
"cd-skiva","cd_skiva"
"elmsäter-svärds","elmsäter_svärds"
"emu-området","emu_området"
"eu-ledda","eu_ledda"
"eu-närmande","eu_närmande"
"fn-deklarationen","fn_deklarationen"
"hjelm-wallens","hjelm_wallens"
"id-korten","id_korten"
"ip-adresser","ip_adresser"
"ip-nummer","ip_nummer"
"lfa-stöd","lfa_stöd"
"lo-kongressen","lo_kongressen"
"lo-medlemmarna","lo_medlemmarna"
"lo-puckeln","lo_puckeln"
"nn-placeringar","nn_placeringar"
"nn-situation","nn_situation"
"nn-tiden","nn_tiden"
"nnn-klubben","nnn_klubben"
"rot-bidrag","rot_bidrag"
"science-området","science_området"
"september-utredningen","september_utredningen"
"svensk-danska","svensk_danska"
"tv-frågor","tv_frågor"
"tv-mottagare","tv_mottagare"
"an-sidor","an_sidor"
"betal-tv","betal_tv"
"eg-domen","eg_domen"
"eu-konceptet","eu_konceptet"
"eu-medlemmarna","eu_medlemmarna"
"eu-motståndarna","eu_motståndarna"
"fn-konventionerna","fn_konventionerna"
"fn-trupperna","fn_trupperna"
"hbt-kompetensen","hbt_kompetensen"
"icke-spridningsfördraget","icke_spridningsfördraget"
"it-attacker","it_attacker"
"it-teknik","it_teknik"
"jo-anmälningar","jo_anmälningar"
"just-in-time","just_in_time"
"ku-anmäld","ku_anmäld"
"låt-gå-politik","låt_gå_politik"
"n-reglerna","n_reglerna"
"ppp-finansiering","ppp_finansiering"
"ppp-modellen","ppp_modellen"
"rif-rådet","rif_rådet"
"s-ledd","s_ledd"
"startup-företag","startup_företag"
"tv-nyheterna","tv_nyheterna"
"wto-förhandlingar","wto_förhandlingar"
"a-kasseavgifterna","a_kasseavgifterna"
"allmän-tv","allmän_tv"
"andt-strategi","andt_strategi"
"d-marken","d_marken"
"digital-tv-kommitten","digital_tv_kommitten"
"eg-länder","eg_länder"
"eu-ersättningarna","eu_ersättningarna"
"eu-fördragen","eu_fördragen"
"eu-sammanhanget","eu_sammanhanget"
"eu-strategin","eu_strategin"
"fn-medlem","fn_medlem"
"fotbolls-em","fotbolls_em"
"gmo-frågan","gmo_frågan"
"helmersson-olsson","helmersson_olsson"
"icke-euroländer","icke_euroländer"
"it-utbildning","it_utbildning"
"ja-partierna","ja_partierna"
"kbs-n-metoden","kbs_n_metoden"
"ku-majoriteten","ku_majoriteten"
"mars-april","mars_april"
"mr-brott","mr_brott"
"n-procentsspärren","n_procentsspärren"
"ng-nätet","ng_nätet"
"nnn-procentigt","nnn_procentigt"
"nnn-talet","nnn_talet"
"s-sidan","s_sidan"
"tt-meddelandet","tt_meddelandet"
"tv-kanalen","tv_kanalen"
"wester-rudin","wester_rudin"
"wto-systemet","wto_systemet"
"yyyy-området","yyyy_området"
"e-förvaltningen","e_förvaltningen"
"eu-fördragets","eu_fördragets"
"eu-maskineriet","eu_maskineriet"
"hipc-initiativet","hipc_initiativet"
"it-mognad","it_mognad"
"it-sidan","it_sidan"
"ku-anmäla","ku_anmäla"
"ky-utbildningar","ky_utbildningar"
"lo-ordföranden","lo_ordföranden"
"lvm-vården","lvm_vården"
"mazar-e-sharif","mazar_e_sharif"
"mp-regeringen","mp_regeringen"
"mr-grupp","mr_grupp"
"nn-årsminnet","nn_årsminnet"
"nnn-kronan","nnn_kronan"
"plus-minus","plus_minus"
"pvc-plast","pvc_plast"
"rot-projekt","rot_projekt"
"sandberg-fries","sandberg_fries"
"satellit-tv","satellit_tv"
"ttip-förhandlingarna","ttip_förhandlingarna"
"tv-stationer","tv_stationer"
"wto-reglerna","wto_reglerna"
"bosnien-hercegovinas","bosnien_hercegovinas"
"bse-krisen","bse_krisen"
"ebo-lagen","ebo_lagen"
"ees-land","ees_land"
"eg-rättsligt","eg_rättsligt"
"esk-konventionen","esk_konventionen"
"eu-frågornas","eu_frågornas"
"eu-parlamentarikernas","eu_parlamentarikernas"
"eu-parlamentsval","eu_parlamentsval"
"eu-tanken","eu_tanken"
"gnn-gruppen","gnn_gruppen"
"hvb-hemmen","hvb_hemmen"
"israel-palestina","israel_palestina"
"it-brottslighet","it_brottslighet"
"it-industrin","it_industrin"
"it-kunskap","it_kunskap"
"iuc-bolag","iuc_bolag"
"lis-områdena","lis_områdena"
"lo-borgen","lo_borgen"
"lo-grupperna","lo_grupperna"
"n-eleven","n_eleven"
"n-sida","n_sida"
"nordisk-baltisk","nordisk_baltisk"
"oecd-ländernas","oecd_ländernas"
"pku-biobanken","pku_biobanken"
"pvc-frågan","pvc_frågan"
"t-shirt","t_shirt"
"tv-avgifter","tv_avgifter"
"vab-intyg","vab_intyg"
"yyyy-problematiken","yyyy_problematiken"
"a-kasseperiod","a_kasseperiod"
"b-laget","b_laget"
"bnp-utvecklingen","bnp_utvecklingen"
"e-sporten","e_sporten"
"eg-rättslig","eg_rättslig"
"eu-anpassa","eu_anpassa"
"eu-ministrarna","eu_ministrarna"
"eu-propositionen","eu_propositionen"
"fn-linjen","fn_linjen"
"fn-sanktionerna","fn_sanktionerna"
"fn-sändebudet","fn_sändebudet"
"ip-adress","ip_adress"
"it-specialister","it_specialister"
"it-verktyg","it_verktyg"
"ky-utbildningen","ky_utbildningen"
"lss-lagen","lss_lagen"
"lss-utredningen","lss_utredningen"
"lvm-hem","lvm_hem"
"n-anordnare","n_anordnare"
"n-nn-regelverket","n_nn_regelverket"
"n-procentsnivån","n_procentsnivån"
"nn-miljardersklassen","nn_miljardersklassen"
"nnn-dagarsgarantin","nnn_dagarsgarantin"
"nnn-årsjubileum","nnn_årsjubileum"
"npt-konferensen","npt_konferensen"
"pisa-rapport","pisa_rapport"
"pr-byrå","pr_byrå"
"reko-stat-utredningen","reko_stat_utredningen"
